Bus Name,Bus Type,Departure Time,Reaching Time,Duration,Price,Seats Available,Rating,Route Name,Route Link
KSRTC (Kerala) - 3090,Super Express Non AC Seater Air Bus (2+2),20:55,00:55,04h 00m,309,23 Seats available,3.1,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 2454,Low Floor AC Seater 2+2,21:40,03:00,05h 20m,383,21 Seats available,4.0,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 279,Super Fast Non AC Seater (2+3),23:05,04:40,05h 35m,269,40 Seats available,3.5,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 426,Super Express Non AC Seater Air Bus (2+2),23:15,03:05,03h 50m,268,8 Seats available,3.1,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
KSRTC (Kerala) - 407,Super Express Non AC Seater Air Bus (2+2),23:25,03:55,04h 30m,299,16 Seats available,4.1,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,A/C Seater / Sleeper (2+1),20:05,23:59,03h 54m,500,30 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,NON A/C Semi Sleeper (2+2),21:00,01:30,04h 30m,400,15 Seats available,3.6,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Galaxy Tours,A/C Semi Sleeper (2+2),21:45,02:01,04h 16m,650,17 Seats available,4.1,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,01:45,03h 30m,750,32 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
Madhavi Travels,A/C Sleeper (2+1),22:20,02:35,04h 15m,854,6 Seats available,3.8,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:30,01:29,02h 59m,750,30 Seats available,3.2,Kozhikode to Ernakulam,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
