busname,bustype,Departing_time,Reaching_time,Duration,Price,rating,seats_available
APSRTC - 9048,Express Non AC Seater 2+3,03:30,10:30,07h 00m,296,4.3,43 Seats available
APSRTC - 5491,SAPTAGIRI EXPRESS,03:30,09:30,06h 00m,296,4.5,43 Seats available
APSRTC - 9775,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",05:00,11:15,06h 15m,426,4.0,33 Seats available
APSRTC - 5627,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",05:45,11:45,06h 00m,345,3.8,33 Seats available
APSRTC - 3507,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",06:00,12:30,06h 30m,426,4.1,33 Seats available
APSRTC - 5621,"ULTRA DELUXE (NON-AC, 2+2 PUSH BACK)",06:30,12:30,06h 00m,345,3.6,22 Seats available
APSRTC - 5519,SAPTAGIRI EXPRESS,06:30,13:00,06h 30m,296,4.0,41 Seats available
APSRTC - 5505,SAPTAGIRI EXPRESS,07:30,13:30,06h 00m,296,4.1,39 Seats available
APSRTC - 5074,INDRA(A.C. Seater),08:00,14:00,06h 00m,506,4.4,31 Seats available
APSRTC - 9036,Express Non AC Seater 2+3,08:30,14:50,06h 20m,296,3.7,45 Seats available
APSRTC - 3765,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",09:00,15:45,06h 45m,426,4.5,33 Seats available
APSRTC - 9058,Express Non AC Seater 2+3,09:15,15:20,06h 05m,296,4.1,45 Seats available
APSRTC - 5724,Express Non AC Seater 2+3,09:30,16:00,06h 30m,327,3.8,34 Seats available
APSRTC - 5451,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",10:30,16:30,06h 00m,426,3.5,33 Seats available
APSRTC - 5359,Express Non AC Seater 2+3,10:45,17:45,07h 00m,334,3.8,39 Seats available
APSRTC - 47172,INDRA(A.C. Seater),11:00,16:15,05h 15m,506,3.1,30 Seats available
APSRTC - 5455,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",11:30,17:30,06h 00m,426,4.0,33 Seats available
APSRTC - 5080,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),12:00,17:25,05h 25m,674,3.9,39 Seats available
APSRTC - 5533,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",13:00,19:00,06h 00m,426,3.4,33 Seats available
APSRTC - 5751,Express Non AC Seater 2+3,14:15,20:35,06h 20m,296,2.7,45 Seats available
APSRTC - 47577,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:30,20:30,06h 00m,426,2.6,32 Seats available
APSRTC - 5513,SAPTAGIRI EXPRESS,14:45,20:45,06h 00m,301,2.7,43 Seats available
APSRTC - 35292,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:00,21:30,06h 30m,426,3.9,33 Seats available
APSRTC - 2638,AMARAVATHI (VOLVO / SCANIA A.C Multi Axle),15:15,21:15,06h 00m,675,3.9,36 Seats available
APSRTC - 4022,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:30,22:30,07h 00m,426,4.1,31 Seats available
APSRTC - 5471,SAPTAGIRI EXPRESS,15:30,21:30,06h 00m,296,3.8,43 Seats available
APSRTC - 9603,Express Non AC Seater 2+3,16:00,22:20,06h 20m,296,3.4,45 Seats available
